phrase_woodruff,phrases_scriptures,similarity_scores
are ye ingaged in the great rk with us ye will say yes can ye,"said unto them, ye know not what ye ask: can ye drink of the cup",0.6311450980680617
uld be dead themselves not bring forth fruit and do the tree no good but,tree bring forth good fruit. every tree that bringeth not forth good fruit is hewn,0.6305628724970822
one crying in the wilderness repent of your sins and prepare the way for the,"voice of one crying in the wilderness, prepare ye the way of the lord, make",0.6262911661898511
one crying in the wilderness repent of your sins and prepare the way for the,"way before thee. the voice of one crying in the wilderness, prepare ye the way",0.6244753726849447
last days to sta turn the hearts of the fathers to the children and the,"spirit and power of elias, to turn the hearts of the fathers to the children,",0.6221357453804313
or the jews in the last days or the building of zion or jerusalem or,"that hath left house, or brethren, or sisters, or father, or mother, or wife, or",0.6204391076629414
shall endure unto the end of time the days of your years shall be according,"he that shall endure unto the end, the same shall be saved. but when ye",0.6203948146939694
say unto thee thou shalt have part in the first resurrection and thou shalt come,"thou shalt not commit adultery, thou shalt not steal, thou shalt not bear falsee witness,",0.619566599446021
are ye ingaged in the great rk with us ye will say yes can ye,"kingdom. but jesus answered and said, ye know not what ye ask. are ye able",0.6184880680498851
the cause of fornication if he did they uld both commit adultery brigham young said,"away his wife, saving for the cause of fornication, causeth her to commit adultery: and",0.6182411046756447
the blood that had been shed from righteous abel down to zechariah the prophet should,"all the righteous blood shed upon the earth, from the blood of righteous abel unto",0.617964438989707
it be in the days of the coming of the son of man first to,"the days of noe, so shall it be also in the days of the son",0.6162407775016293
thee to thee they have appealed for the righteousness of there cause to thee do,"charge over thee, to keep thee: and in their hands they shall bear thee up,",0.6116822774051278
to rest upon us o ye priest of baal o ye gentile religionest o ye,"ye have the poor with you always, and whensoever ye will ye may do them",0.6109713912173494
it be in the days of the coming of the son of man first to,"noe were, so shall also the coming of the son of man be. for as",0.6109208219387359
ye are laying the foundation of a great rk and ye know it not we,"said unto them, ye know not what ye ask: can ye drink of the cup",0.6100874031890295
if ye are the sons of god ye shall have all things he that over,are ye that hunger now: for ye shall be filled. blessed are ye that weep,0.6096786120862508
the keys of that priesthood and came forth preaching repentance and baptism for the remission,"the country about jordan, preaching the baptism of repentance for the remission of sins; as",0.6085846605213706
man had better ienter into life maimed than into hell with all his members the,"to enter into life maimed, than having two hands to go into hell, into the",0.607896609627164
young preached from this text judge not that ye be not judged he gave much,"be not judged. for with what judgment ye judge, ye shall be judged: and with",0.6075414704920625
possessed of a devil and cast him out and leave the house and dont speak,"him a dumb man possessed with a devil. and when the devil was cast out,",0.6069309397544138
from their sins from that hour all their sins should be forgiven them and not,"be converted, and their sins should be forgiven them. and he said unto them, know",0.6058828636929522
if ye are the sons of god ye shall have all things he that over,"receive them, and ye shall have them. and when ye stand praying, forgive, if ye",0.6041438910552512
testimony against that nation or man or house or people before thee our father and,"that hath left house, or brethren, or sisters, or father, or mother, or wife, or",0.6026068431239197
"that have riches enter into the kingdom of god"" for while one and another that",them that trust in riches to enter into the kingdom of god! it is easier,0.602444671703339
do ye not know these things are true you do and so do i for,"ye would that men should do to you, do ye even so to them: for",0.6015828029634734
