phrase_woodruff,phrases_scriptures,similarity_scores
prophet and he that believeth it may be saved and he that believeth it not,for he that believeth and is baptized shall be saved; but he that believeth not,0.856684965463458
prophet and he that believeth it may be saved and he that believeth it not,"he that believeth and is baptized shall be saved, but he that believeth not shall",0.812277575242165
charters of nauvoo shall be saved he that believeth not shall not come here if,"he that believeth and is baptized shall be saved, but he that believeth not shall",0.7064217969813965
ye are laying the foundation of a great rk and ye know it not we,which i speak: know ye that ye are of the house of israel. know ye,0.7053962845345342
gift of the holy ghost ^and power^ of the holy ghost agreeable to the revelations,and by the power of the holy ghost; for as the power of the holy,0.6992396500772725
prophet and he that believeth it may be saved and he that believeth it not,"pass away, even so as by fire. and he that believeth not my words believeth",0.6971326903492698
a prophet and an apostle and a mighty man many miracles were wrought by him,jesus christ did not do many mighty miracles? and there were many mighty miracles wrought,0.6930769542780019
if ye are the sons of god ye shall have all things he that over,"these things, judge ye; for ye shall know that i have authority when ye shall",0.6914233804939028
if ye are the sons of god ye shall have all things he that over,"ye who are despisers of the works of the lord, for ye shall wonder and",0.6897019976518599
our god which blessings i ask god the eternal father in the name of jesus,"o god, the eternal father, we ask thee, in the name of thy son, jesus",0.6885815881544953
to be full of the holy ghost and the power of god while at the,and by the power of the holy ghost; for as the power of the holy,0.688394153208365
thou hast spoken well i have all thou hast said in my heart i have,"in the place which thou hast prepared. and again, i remember that thou hast said",0.6793262289172332
to ask the father in the name of thy son jesus christ for all blessings,"o god, the eternal father, we ask thee, in the name of thy son, jesus",0.6790452724336663
if ye are the sons of god ye shall have all things he that over,ye have done this ye shall have power that to him upon whom ye shall,0.6787157015222678
the following dedication prayer o god our eternal father we ask thee in the name,"o god, the eternal father, we ask thee, in the name of thy son, jesus",0.6748548985039106
her father o god i ask thee in the name of christ to save the,"christ, saying: o god, the eternal father, we ask thee in the name of thy",0.6687526186633289
to come as you have been moved upon by the power of the holy ghost,and by the power of the holy ghost; for as the power of the holy,0.6662443897757302
thou hast spoken well i have all thou hast said in my heart i have,great power. and i also remember that thou hast said that thou hast prepared a,0.6638896381609362
the following dedication prayer o god our eternal father we ask thee in the name,"christ, saying: o god, the eternal father, we ask thee in the name of thy",0.6638007799399007
ye are the people ye elders of israel and latter day saints that are moved,which i speak: know ye that ye are of the house of israel. know ye,0.6634868319959719
are ye ingaged in the great rk with us ye will say yes can ye,"ye who are despisers of the works of the lord, for ye shall wonder and",0.6618039409146026
if ye are the sons of god ye shall have all things he that over,"when ye shall read these things, if it be wisdom in god that ye should",0.6613675012228103
tongues and interpretation of tongues and prophesy'd and we rejoiced monday 18th spent the day,"with tongues, and the interpretation of tongues; behold i say unto you, he that denieth",0.6578023226528175
he feared no power of earth by the power of the holy ghost oft the,and by the power of the holy ghost; for as the power of the holy,0.6549805209602265
the holy ghost and the gift of the holy ghost cornelius received the holy ghost,and by the power of the holy ghost; for as the power of the holy,0.6548612961689075
with you and to speak of the things of the kingdom of god and to,the kingdom of god; and i speak it according to the words of christ; and,0.6533413663154264
by the power of god and the holy ghost we have to go step by,"of it unto you, by the power of the holy ghost. and by the power",0.6527823400821784
by the power of god and the holy ghost we have to go step by,and by the power of the holy ghost; for as the power of the holy,0.6526017769121899
all ye house of israel and all ye nations of the earth we will now,which i speak: know ye that ye are of the house of israel. know ye,0.6516326438518056
charters of nauvoo shall be saved he that believeth not shall not come here if,for he that believeth and is baptized shall be saved; but he that believeth not,0.6514146863960536
aloud i uld say 'o god the eternal father we ask thee in the name,"o god, the eternal father, we ask thee, in the name of thy son, jesus",0.651389098001875
are ye ingaged in the great rk with us ye will say yes can ye,"that ye must come unto repentance, or ye cannot be saved. know ye that ye",0.6491016520135883
the love of god our father and the grace of jesus christ our lord be,"have written, that the grace of god the father, and also the lord jesus christ,",0.6458994492210729
to come as you have been moved upon by the power of the holy ghost,"of it unto you, by the power of the holy ghost. and by the power",0.6426185263491992
aloud i uld say 'o god the eternal father we ask thee in the name,"christ, saying: o god, the eternal father, we ask thee in the name of thy",0.6407193490875839
the gospel and bring many into the church and the power of the holy ghost,and by the power of the holy ghost; for as the power of the holy,0.6406554550793587
are ye ingaged in the great rk with us ye will say yes can ye,which i speak: know ye that ye are of the house of israel. know ye,0.6398640893347111
are ye ingaged in the great rk with us ye will say yes can ye,can ye if ye have no hope. and if ye have no hope ye must,0.638371761419333
