phrase_woodruff,phrases_scriptures,similarity_scores
his arm shall be made bare in the eyes of all nations until zion shall,made bare his holy arm in the eyes of all the nations; and all the,0.7118909515518839
and henceforth the ax is laid unto the root of the tree and evry tree,ax is laid at the root of the tree; therefore every tree that bringeth not,0.6926219486966951
of god inspired by the power of god and the gift of the holy ghost,"and the power of god, and the gift of the holy ghost, and quench the",0.6921309131265257
woodruff prayed and called upon the lord to pour out his spirit upon us and,"the people of god. and the lord did pour out his spirit upon them, and",0.6854521859313867
of abraham and of isaac and of jacob i am he who led the children,"of abraham, and isaac, and jacob; and also, that god who brought the children of",0.6841986393494796
the laying on of hands according to the order of god he could not have,"elders, by laying on his hands according to the order of god, to preside and",0.6764165292974882
the matter death is here it is death that has caused it death is in,"works. now, there is a death which is called a temporal death; and the death",0.6738116653719107
to iowa territory and while there he inquired of the lord what he should do,"went and inquired of the lord what he should do concerning this matter, for he",0.6693105238983598
go to the lamanites and that 1847 may not pass away until the lamanites with,the lamanites. and it came to pass that they did meet the lamanites; and the,0.6677441030063128
the last days in the days of noah god destroyed the rld by a flood,"it would not be by flood, as were the people in the days of noah,",0.6562934142957368
will be more tolerable in the day of judgment for sodam and gomorrow than for,"it shall be more tolerable for them in the day of judgment than for you,",0.649608826450561
if ye are the sons of god ye shall have all things he that over,"know if ye keep the commandments of god ye shall be saved; yea, if ye",0.6484257922796086
the power of god and the gift of the holy ghost until they have gatherd,"and the power of god, and the gift of the holy ghost, and quench the",0.6471817056905702
said he was more and more convinced that there was a wrong with parley parker,was convinced more and more of the power of god; and he was also convinced,0.6418579784870939
do ye not know these things are true you do and so do i for,"laid for you? know ye not that if ye will do these things, that the",0.6372396701083548
gift of the holy ghost ^and power^ of the holy ghost agreeable to the revelations,"and the power of god, and the gift of the holy ghost, and quench the",0.6366629304918116
are ye ingaged in the great rk with us ye will say yes can ye,"now, if ye say this in your hearts ye remain guiltless, otherwise ye are condemned;",0.6335608339178931
ye are laying the foundation of a great rk and ye know it not we,do ye not answer the words of this people? know ye not that i have,0.6329467305387388
of this life you shall come forth in the morning of the first resurrection clothed,"of god, shall come forth in the first resurrection; therefore, they are the first resurrection.",0.6318773637209342
my people shall be willing in the day of my power that people who have,"and they shall be my people. yea, blessed is this people who are willing to",0.6315161286188195
say unto thee thou shalt have part in the first resurrection and thou shalt come,kill. thou shalt not commit adultery. thou shalt not steal. thou shalt not bear falsee,0.6240816626040537
if ye are the sons of god ye shall have all things he that over,"ye have come to the knowledge of the glory of god, or if ye have",0.6224819855300667
and keep the commandments of god no power shall take it off it shall be,"ye shall keep the commandments of my son, or the commandments of god which shall",0.6192386070195423
if ye are the sons of god ye shall have all things he that over,"of iniquity; ye that are puffed up in the vain things of the world, ye",0.6188097544388679
nations of the earth to prune the vineyard once more for the last time that,"draweth nigh, and this is for the last time that i shall prune my vineyard.",0.6184296341805763
thou knowest for thou knowest all our ways thou hast given unto us of thy,"say unto you, nay, thou knowest that there is a god, but thou lovest that",0.617692508799093
wilderness prepare ye the way of the lord and make his paths strait and they,"saying--repent ye, and prepare the way of the lord, and walk in his paths, which",0.6137640874104842
ot done right in partaking of the forbidden fruit they were sent to the earth,"the partaking of the forbidden fruit, according to the word of god; and thus we",0.6100376553717509
my servant john taylor 1808 and my servant wilford odruff and my servant orson pratt,lord of the vineyard sent his servant; and the servant went and did as the,0.61002434984746
unto my servant john taylor 1808 and my servant wilford odruff and my servant orson,lord of the vineyard sent his servant; and the servant went and did as the,0.6089015138299381
be blessed in your flocks and in your herds and in your fields and in,"your houses and lands, and upon your flocks and herds, and all that you possess,",0.6082052242553302
but they should come forth in the morning of the first resurrection and be exhalted,"of god, shall come forth in the first resurrection; therefore, they are the first resurrection.",0.607192247257006
the power of god and the gift of the holy ghost events which more deeply,"and the power of god, and the gift of the holy ghost, and quench the",0.6062673033793193
are ye ingaged in the great rk with us ye will say yes can ye,"unto them: o ye wicked and perverse generation, ye lawyers and hypocrites, for ye are",0.6045369117132432
are ye ingaged in the great rk with us ye will say yes can ye,"the beggar, because ye have not; i would that ye say in your hearts that:",0.6038948921153645
of one of his sons with his wife children and a sick man and got,"every man according to his family, consisting of his wife, and his sons, and his",0.6023850597624392
thou hast spoken well i have all thou hast said in my heart i have,the words which thou hast spoken evil concerning me and my people. now abinadi said,0.6016623990607596
captains of fifties and captains of tens i was appointed capt of ten the following,"time of their coming. and there were appointed captains, and higher captains, and chief captains,",0.6016569601845905
high priests elders bishops priests teachers and deacons all should keep a journal of the,"priests, and delivered up unto the priests by the teachers; and the priests brought them",0.6013697065156036
evry wait and the sin which doth so easily beset us and rum for the,"not, and lay aside every sin, which easily doth beset you, which doth bind you",0.6013150124187896
